Scientific_name,TSN
Gaura biennis,27642
Gentiana clausa,29974
Gratiola neglecta,33197
Grindelia squarrosa,37472
Helenium nudiflorum,514551
Helianthemum bicknell,22259
Helianthus decapetalus,502923
Helianthus divicaricatus,NA
Helianthus laetiflorus,536110
Helianthus strumosus,36690
Heliopsis scabra,514613
Hepatica americana,514659
Hieracium florentinum,37707
Hypericum densiflorum,21418
Hypericum majus,21446
Hypericum spathulatum,515016
Hypochaeris radicata,37794
Isotria verticillata,43615
Lechea maritima,22288
Lepidium densiflorum,22960
Lindernia angallidea,NA
Liparis  lilifolia,NA
Liparis  loeselii,NA
Lunaria annua,23238
Magnolia tripetala,18077
Malva moschata,21835
Marshallia sp.,NA
Mirabilis hirsuta,19647
Monarda media,32291
Oenothera parviflora,504007
Osmorhiza longistylis,29791
Penstemon digitalis,33881
Penstemon hirsutus,33924
Penstemon pallidus,33967
Petunia violacea,30586
Peucedanum palustre,29820
Physalis alkekengi,30589
Physalis heterophylla,30601
Physocarpus opulifolius,25282
Plantago aristata,32875
Plantago major,32887
Plantago purshii,519156
Polemonium reptans,31003
Polgonella articulata,NA
Polygonatum canaliculatum,519344
Polygonum amphibium,20865
Polygonum cristatum,519358
Polygonum ramosissimum,20921
Polygonum robustius,20922
Polygonum scabrum,519405
Polygonum scandens,20924
Pontedaria cordata,NA
Prenanthes altissima,38273
Prenanthes virgatum,NA
Prunus avium,24770
Prunus nigra (america?),NA
Pycnanthemum clinopodioides,504687
Pycnanthemum incanum,32662
Pycnanthemum muticum,32665
Pycnanthemum pilosum,32654
Pycnanthemum tenuifolium,32668
Pyrola secunda,23755
Pyrus aucuparia,519846
Ranunculus ficaria,18603
Raphanus  sativus,NA
Rhododendron maximum,23721
Rhododendron roseum,520052
Ribes hirtellum,24470
Robinia hispida,26191
Roripa officinalis,NA
Rosa multiflora,24833
Sagittaria subulata,38912
Saxifraga pensylvanica,24234
Scrophularia lanceolata,34036
Sedum purpureum,24158
Sericocarpus linifolius,508090
Sida spinosa,21732
Solanum americanum,30416
Solidago arguta,36230
Solidago caesia,36238
Solidago flexicaulis,36257
Solidago puberula,36294
Solidago sempervirens,36226
Solidago speciosa,36310
Solidago uliginosa,36317
Sonchus arvensis,38421
Sparganium chlorocarpum,42319
Spiranthes cernua,43444
Spiranthes lacera,43464
Suaeda linearis,20661
Symphoricarpos albus,35332
Tabacum longiflorum,NA
Taraxacum erythrospermum,522365
Thymus pulegioides,505500
Tragopogon porrifolius,38568
Trapa natas,NA
Utricularia geminiscapa,34451
Utricularia intermedia,34454
Utricularia minor,34457
Vaccinium atrococcum,23572
Vallisneria americana,38951
Verbena bracteata,32085
Verbena stricta,32078
Vernonia fasciculata,38629
Vernonia missurica,38643
Viburnum opulus,35270
Vicia angustifolia,26330
Viola incognita,22090
Viola pallens,22124
Viola papilionacea,22127
Viola primulifolia,526831
Viola tricolor,22175
Vitis riparia,28624
Xanthoxylum americanum,NA
Xyris flexuosa,523582
Yucca filamentosa,43140
Contopus virens,178359
Dendroica coronata,178891
Dendroica petechia,178878
Dendroica pinus,178914
Dolichonyx oryzivorus,179032
Dumetella carolinensis,178625
Geothlypis trichas,178944
Hirundo rustica,178448
Hylocichla mustelina,179777
Icterus galbula,179083
Mniotilta varia,178844
Passerina cyanea,179150
Pheucticus ludovicianus,179139
Piranga olivacea,179883
Riparia riparia,178436
Sayornis phoebe,178329
Seiurus aurocapilla,726205
Spizella passerina,179435
Toxostoma rufum,178627
Tyrannus tyrannus,178279
Vireo gilvus,179023
Vireo olivaceus,179021
NA NA,27703
